rule_id,status,function,source_type,target_type,class,permissions,evidence_stage,evidence_file,rationale
BASE-001,temporary,legacy bring-up,system_app,self,process,permissive,pre-minimization,sepolicy.rule.baseline-permissive,Remove after explicit IMS app grants are evidenced
BASE-002,removed-candidate04,legacy bring-up,system_server,self,process,permissive,candidate03-boot-and-outgoing,20260806_010528_candidate03-outgoing-success/logcat_marker_bounded_avc.txt,Removed: no module-attributable system_server AVC in successful outgoing window; framework jars relabelled system_file
BASE-003,removed-candidate03,legacy bring-up,radio,self,process,permissive,phase-one-and-two-domain-capture,20260806_001602_phase2-registration/ps_AZ.txt,"Removed: module processes use magisk/system_app/system_server/rild, not this source domain"
BASE-004,removed-candidate03,legacy bring-up,init,self,process,permissive,phase-one-and-two-domain-capture,20260806_001602_phase2-registration/ps_AZ.txt,"Removed: module processes use magisk/system_app/system_server/rild, not this source domain"
LABEL-001,rejected,imsd source executable label,installer,imsd_exec,file,set_perm_context,phase-one boot-labels,20260805_232919_boot-labels/label_system_bin_imsd.txt,Rejected by phase-two evidence: magic-mounted imsd remained adb_data_file and process remained magisk
LABEL-002,rejected,diagnostic multiclientd label,magisk,multiclientd_exec,file,relabelto,phase-one boot-labels,20260805_232919_boot-labels/proc_multiclientd_2764/attr_current.txt,Removal rejected: multiclientd absence caused outgoing call failure error 210 after START OUTGOING; restore required component
TRANS-001,rejected,launch imsd,magisk,imsd,process,transition siginh rlimitinh,phase-one boot-labels,20260805_232919_boot-labels/proc_imsd_1536/attr_current.txt,Rejected by phase-two evidence: magic-mounted imsd remained adb_data_file and process remained magisk
ENTRY-001,rejected,imsd entrypoint,imsd,imsd_exec,file,read open getattr map execute entrypoint,phase-one boot-labels,20260805_232919_boot-labels/proc_imsd_1536/exe.txt,Rejected by phase-two evidence: magic-mounted imsd remained adb_data_file and process remained magisk
EXEC-001,rejected,launcher executes imsd,magisk,imsd_exec,file,read open getattr map execute,phase-one boot-labels,20260805_232919_boot-labels/proc_imsd_1536/exe.txt,Rejected by phase-two evidence: magic-mounted imsd remained adb_data_file and process remained magisk
SOCKET-001,pending,IMS control socket,magisk,pending,sock_file,create write setattr,registration-capture,20260805_233005_registration/label_dev_socket_imsd.txt,Socket remains generic socket_device; do not grant broad access yet
SOCKET-002,pending,IMS control socket,system_app,pending,sock_file,write,registration-capture,20260805_233005_registration/dmesg_full.txt,Reproducible denial proven; wait for dedicated socket type
FILE-001,pending,IMS framework jar,system_app,pending,file,read open getattr map,boot-capture,20260805_232919_boot-labels/dmesg_full.txt,Files incorrectly appear adb_data_file; fix labels rather than grant adb_data_file
FILE-002,pending,IMS native libraries,system_app,pending,file,read open getattr map execute,boot-capture,20260805_232919_boot-labels/dmesg_full.txt,Files incorrectly appear adb_data_file; fix labels rather than grant adb_data_file
PROP-001,pending,IMS vendor property reads,system_app,vendor_ims_prop,file,read open getattr map,registration-capture,20260805_233005_registration/dmesg_full.txt,Exact property keys still need attribution
