rule_id,status,function,source_type,target_type,class,permissions,evidence_stage,evidence_file,rationale
BASE-001,temporary,legacy bring-up,system_app,self,process,permissive,pre-minimization,sepolicy.rule.baseline-permissive,"Last remaining permissive line and the only one whose removal buys security: 8 processes share this domain (Settings/keychain/dynsystem/localtransport/lineageparts/qcrilam). Blocked on FILE-003. Remove only when kernel_module_avc.txt is empty across boot+call+SMS+emergency"
BASE-002,removed-candidate04,legacy bring-up,system_server,self,process,permissive,candidate05-kernel-audit,20260806_010033_candidate03-boot/dmesg_full.txt,"Removal kept but justification re-derived. Original candidate04 rationale cited a logcat window that structurally cannot show kernel AVCs (0 lines there vs 9 in the same capture dmesg). Kernel evidence shows those 9 are sysfs/extcon cable probing plus one adb_data_file getattr addressed by the framework-jar relabel; none are IMS-specific, so the permissive line was masking generic GSI behaviour"
BASE-003,removed-candidate03,legacy bring-up,radio,self,process,permissive,phase-one-and-two-domain-capture,20260806_001602_phase2-registration/ps_AZ.txt,"Removed and device-validated. NOTE bought no security: ps -AZ shows the radio domain held only com.android.phone and no module process ran there"
BASE-004,removed-candidate03,legacy bring-up,init,self,process,permissive,phase-one-and-two-domain-capture,20260806_001602_phase2-registration/ps_AZ.txt,"Removed and device-validated. NOTE bought no security: ps -AZ shows the init domain held 1 process while module daemons run in the magisk domain"
METHOD-001,approved,evidence collection kernel audit,collector,n/a,n/a,n/a,candidate05,selinux-policy/collect_selinux_ims.sh,"Collector read AVCs from logcat only but Android 13 logs them to the kernel audit buffer. candidate03-boot held 14 logcat AVC lines with 0 module-relevant versus 245 dmesg lines with 11 module-relevant, so every earlier no-AVC conclusion was unsound. Now two-phase: arm records the last kernel audit serial then collect keeps only newer records in kernel_window_avc.txt"
METHOD-002,approved,evidence collection dontaudit,collector,n/a,n/a,n/a,candidate05,selinux-policy/collect_selinux_ims.sh,"392 dontaudit rules with 11 naming system_app can silently suppress denials. Arm phase runs magiskpolicy --live --strip-dontaudit and collect marks the evidence incomplete when the strip failed"
LABEL-001,rejected,imsd source executable label,installer,imsd_exec,file,set_perm_context,phase-one boot-labels,20260805_232919_boot-labels/label_system_bin_imsd.txt,"Type imsd_exec has 0 declarations in the loaded policy because the GSI replaced Samsung platform sepolicy, so the label could never take effect"
LABEL-002,rejected,diagnostic multiclientd label,magisk,multiclientd_exec,file,relabelto,phase-one boot-labels,20260805_232919_boot-labels/proc_multiclientd_2764/attr_current.txt,"Removal rejected: multiclientd absence caused outgoing call failure error 210 after START OUTGOING. It is a required component not a diagnostic leftover"
TRANS-001,rejected,launch imsd,magisk,imsd,process,transition siginh rlimitinh,phase-one boot-labels,20260805_232919_boot-labels/proc_imsd_1536/attr_current.txt,"Target domain imsd is not declared in this GSI policy so the transition could never activate regardless of labeling"
ENTRY-001,rejected,imsd entrypoint,imsd,imsd_exec,file,read open getattr map execute entrypoint,phase-one boot-labels,20260805_232919_boot-labels/proc_imsd_1536/exe.txt,Neither imsd nor imsd_exec is declared in this GSI policy
EXEC-001,rejected,launcher executes imsd,magisk,imsd_exec,file,read open getattr map execute,phase-one boot-labels,20260805_232919_boot-labels/proc_imsd_1536/exe.txt,Type imsd_exec is not declared in this GSI policy
SOCKET-001,candidate,IMS control socket node label,system_app,imsd_socket,sock_file,write,candidate05,out/post-fs-data.sh,"No new rule needed. Loaded policy already carries allow system_app imsd_socket sock_file write at live_policy_excerpt.txt line 2145. Fix is chcon /dev/socket/imsd to imsd_socket because ims_sock_launch created it as generic socket_device. Awaiting device confirmation that the socket_device denial is gone and no imsd_socket denial replaced it"
SOCKET-002,approved,IMS control socket peer,system_app,magisk,unix_stream_socket,connectto,candidate05,20260806_010033_candidate03-boot/live_policy_excerpt.txt,"Second half of the connect path is already granted: allow system_app magisk unix_stream_socket getopt connectto. imsd runs in the magisk domain so no peer rule is required"
FILE-001,candidate,IMS framework jar label,system_app,system_file,file,read open getattr map,candidate04,out/post-fs-data.sh,"post-fs-data relabels EpdgManager imsmanager and rcsopenapi jars to system_file so they stop appearing as adb_data_file. Awaiting confirmation under enforcing system_server"
FILE-002,pending,IMS native libraries,system_app,pending,file,read open getattr map execute,boot-capture,20260805_232919_boot-labels/dmesg_full.txt,Files incorrectly appear adb_data_file so fix labels rather than grant adb_data_file
FILE-003,pending,IMS app log file,system_app,system_data_file,file,append,candidate03-outgoing-success,20260806_010528_candidate03-outgoing-success/dmesg_full.txt,"Evidenced denial on imscr.log.0 at permissive=1 which will fail once BASE-001 is removed. Prefer relocating the log to module-owned storage over granting append to system_data_file. This is the last blocker for BASE-001"
PROP-001,pending,IMS vendor property reads,system_app,vendor_ims_prop,file,read open getattr map,registration-capture,20260805_233005_registration/dmesg_full.txt,"Type vendor_ims_prop exists and policy currently grants only allow radio vendor_ims_prop file read. Exact property keys still need attribution"
